('0', '2', '7', '9') 11925
('0', '2', '7', 'A') 9039
('0', '2', '7', 'B') 22831
('0', '2', '7', 'C') 6969
('0', '2', '7', 'D') 15311
('0', '2', '7', 'E') 98815
('0', '2', '7', 'F') 35135
('0', '2', '8', '0') 7275
('0', '2', '8', '1') 37279
('0', '2', '8', '2') 13215
('0', '2', '8', '3') 13679
('0', '2', '8', '4') 26665
('0', '2', '8', '5') 8927
('0', '2', '8', '6') 687
('0', '2', '8', '7') 2799
('0', '2', '8', '8') 33199
('0', '2', '8', '9') 1167
('0', '2', '8', 'A') 51791
('0', '2', '8', 'B') 42207
('0', '2', '8', 'C') 29087
('0', '2', '8', 'D') 34916
('0', '2', '8', 'E') 77327
('0', '2', '8', 'F') 23983
('0', '2', '9', '0') 6703
('0', '2', '9', '1') 72303
('0', '2', '9', '2') 114335
('0', '2', '9', '3') 9617
('0', '2', '9', '4') 39279
('0', '2', '9', '5') 20131
('0', '2', '9', '6') 6207
('0', '2', '9', '7') 80607
('0', '2', '9', '8') 26207
('0', '2', '9', '9') 79
('0', '2', '9', 'A') 13601
('0', '2', '9', 'B') 61327
('0', '2', '9', 'C') 26335
('0', '2', '9', 'D') 58991
('0', '2', '9', 'E') 41583
('0', '2', '9', 'F') 37695
('0', '2', 'A', '0') 4239
('0', '2', 'A', '1') 119750
('0', '2', 'A', '2') 31591
('0', '2', 'A', '3') 19183
('0', '2', 'A', '4') 51407
('0', '2', 'A', '5') 4580
('0', '2', 'A', '6') 5871
('0', '2', 'A', '7') 40721
('0', '2', 'A', '8') 33279
('0', '2', 'A', '9') 9905
('0', '2', 'A', 'A') 943
('0', '2', 'A', 'B') 43443
('0', '2', 'A', 'C') 5929
('0', '2', 'A', 'D') 66911
('0', '2', 'A', 'E') 6655
('0', '2', 'A', 'F') 655
('0', '2', 'B', '0') 27893
('0', '2', 'B', '1') 63074
('0', '2', 'B', '2') 37183
('0', '2', 'B', '3') 39599
('0', '2', 'B', '4') 28607
('0', '2', 'B', '5') 11906
('0', '2', 'B', '6') 4159
('0', '2', 'B', '7') 9609
('0', '2', 'B', '8') 19631
('0', '2', 'B', '9') 96367
('0', '2', 'B', 'A') 1055
('0', '2', 'B', 'B') 35975
('0', '2', 'B', 'C') 65679
('0', '2', 'B', 'D') 87135
('0', '2', 'B', 'E') 17081
('0', '2', 'B', 'F') 3151
('0', '2', 'C', '0') 3018
('0', '2', 'C', '1') 17487
('0', '2', 'C', '2') 38783
('0', '2', 'C', '3') 71615
('0', '2', 'C', '4') 35445
('0', '2', 'C', '5') 19606
('0', '2', 'C', '6') 66959
('0', '2', 'C', '7') 2513
('0', '2', 'C', '8') 162991
('0', '2', 'C', '9') 98879
('0', '2', 'C', 'A') 17279
('0', '2', 'C', 'B') 5471
('0', '2', 'C', 'C') 51167
('0', '2', 'C', 'D') 89983
('0', '2', 'C', 'E') 107621
('0', '2', 'C', 'F') 13439
('0', '2', 'D', '0') 71807
('0', '2', 'D', '1') 16783
('0', '2', 'D', '2') 71007
('0', '2', 'D', '3') 46087
('0', '2', 'D', '4') 8562
('0', '2', 'D', '5') 4323
('0', '2', 'D', '6') 41081
('0', '2', 'D', '7') 38847
('0', '2', 'D', '8') 34745
('0', '2', 'D', '9') 150719
('0', '2', 'D', 'A') 10127
('0', '2', 'D', 'B') 52114
('0', '2', 'D', 'C') 86543
('0', '2', 'D', 'D') 2959
('0', '2', 'D', 'E') 9960
('0', '2', 'D', 'F') 30631
('0', '2', 'E', '0') 1439
('0', '2', 'E', '1') 9968
('0', '2', 'E', '2') 19695
('0', '2', 'E', '3') 198223
('0', '2', 'E', '4') 6271
('0', '2', 'E', '5') 3984
('0', '2', 'E', '6') 5615
('0', '2', 'E', '7') 60610
('0', '2', 'E', '8') 18112
('0', '2', 'E', '9') 37887
('0', '2', 'E', 'A') 100049
('0', '2', 'E', 'B') 1350
('0', '2', 'E', 'C') 31823
('0', '2', 'E', 'D') 22984
('0', '2', 'E', 'E') 6614
('0', '2', 'E', 'F') 54079
('0', '2', 'F', '0') 25631
('0', '2', 'F', '1') 25623
('0', '2', 'F', '2') 3423
('0', '2', 'F', '3') 15039
('0', '2', 'F', '4') 8787
('0', '2', 'F', '5') 2623
('0', '2', 'F', '6') 18104
('0', '2', 'F', '7') 63683
('0', '2', 'F', '8') 43359
('0', '2', 'F', '9') 266753
('0', '2', 'F', 'A') 28831
('0', '2', 'F', 'B') 16496
('0', '2', 'F', 'C') 32687
('0', '2', 'F', 'D') 49135
('0', '2', 'F', 'E') 35889
('0', '2', 'F', 'F') 319
('0', '3', '0', '0') 5035
('0', '3', '0', '1') 124479
('0', '3', '0', '2') 17983
('0', '3', '0', '3') 16488
('0', '3', '0', '4') 90489
('0', '3', '0', '5') 88703
('0', '3', '0', '6') 79632
('0', '3', '0', '7') 30831
('0', '3', '0', '8') 17493
('0', '3', '0', '9') 28120
('0', '3', '0', 'A') 17903
('0', '3', '0', 'B') 189135
('0', '3', '0', 'C') 80383
('0', '3', '0', 'D') 12047
('0', '3', '0', 'E') 5300
('0', '3', '0', 'F') 54788
('0', '3', '1', '0') 16490
('0', '3', '1', '1') 25014
('0', '3', '1', '2') 29023
('0', '3', '1', '3') 37055
('0', '3', '1', '4') 5937
('0', '3', '1', '5') 67679
('0', '3', '1', '6') 43455
('0', '3', '1', '7') 18950
('0', '3', '1', '8') 83999
('0', '3', '1', '9') 7039
('0', '3', '1', 'A') 111311
('0', '3', '1', 'B') 58999
('0', '3', '1', 'C') 8839
('0', '3', '1', 'D') 76867
('0', '3', '1', 'E') 110418
('0', '3', '1', 'F') 22015
('0', '3', '2', '0') 2483
('0', '3', '2', '1') 5807
('0', '3', '2', '2') 72335
('0', '3', '2', '3') 2655
('0', '3', '2', '4') 20463
('0', '3', '2', '5') 9823
('0', '3', '2', '6') 77711
('0', '3', '2', '7') 15567
('0', '3', '2', '8') 5375
('0', '3', '2', '9') 42575
('0', '3', '2', 'A') 24463
('0', '3', '2', 'B') 61455
('0', '3', '2', 'C') 17977
('0', '3', '2', 'D') 170143
('0', '3', '2', 'E') 1301
('0', '3', '2', 'F') 54223
('0', '3', '3', '0') 58879
('0', '3', '3', '1') 32063
('0', '3', '3', '2') 8623
('0', '3', '3', '3') 10031
('0', '3', '3', '4') 6784
('0', '3', '3', '5') 76751
('0', '3', '3', '6') 21199
('0', '3', '3', '7') 7967
('0', '3', '3', '8') 15192
('0', '3', '3', '9') 15200
('0', '3', '3', 'A') 20943
('0', '3', '3', 'B') 84495
('0', '3', '3', 'C') 6776
('0', '3', '3', 'D') 30607
('0', '3', '3', 'E') 122340
('0', '3', '3', 'F') 42897
('0', '3', '4', '0') 31039
('0', '3', '4', '1') 48239
('0', '3', '4', '2') 15619
('0', '3', '4', '3') 244671
('0', '3', '4', '4') 14991
('0', '3', '4', '5') 58159
('0', '3', '4', '6') 52575
('0', '3', '4', '7') 21524
('0', '3', '4', '8') 35567
('0', '3', '4', '9') 102386
